name,requirement,measured,value,status,note
主关节 D8 轴/轴套径向余量,孔半径 4.20 mm，应大于标准件半径 4.00 mm,0.200 mm,0.20000000000000018,PASS,用于判断 shoulder/elbow 主轴是否能装入。0.20 mm 对 3D 打印属于可用但偏紧的余量。
肘部 M3 螺钉通孔径向余量,孔半径 1.60 mm，应大于 M3 螺钉半径 1.50 mm,0.100 mm,0.10000000000000009,WARN,功能上可装入，但 0.10 mm 对 FDM 打印偏紧，建议 V3 放宽到半径 1.70-1.80 mm。
肘部 M3 螺钉头沉孔径向余量,沉孔半径 2.70 mm，应大于头部半径 2.60 mm,0.100 mm,0.10000000000000009,WARN,螺钉头可进入沉孔，但径向余量偏紧。
肘部 M3 螺钉头沉孔深度余量,沉孔深度 2.20 mm，应大于头部高度 2.00 mm,0.200 mm,0.20000000000000018,PASS,沉孔深度可容纳简化螺钉头。
肘部安装孔到 pad 边缘最小材料,建议 >= 2.0 mm,通孔边缘 7.450 mm，沉孔边缘 6.350 mm,6.349999999999997,PASS,边缘余量充足。
肘部 2x2 孔间最小材料,建议通孔/沉孔之间保留 >= 2.0 mm,通孔间 6.700 mm，沉孔间 4.500 mm,4.5,PASS,2x2 孔系自身材料余量可接受。
肘部安装孔与 elbow 主孔最小孔间材料,建议 >= 0.8 mm,0.250 mm,0.2499999999999969,WARN,这是当前最需要关注的风险：最近的 M3 通孔离 elbow 主孔较近，真实打印和受力下建议 V3 把孔系向近端移动 1-2 mm 或增大局部材料。
肩部 M3 夹紧/定位孔径向余量,孔半径 2.00 mm，应大于 M3 螺钉半径 1.50 mm,0.500 mm,0.5,PASS,肩部侧向孔给 M3 螺钉留有较宽松余量。
肩部夹紧孔到 pad 边缘最小材料,建议 >= 2.0 mm,2.500 mm,2.5,PASS,边缘材料余量可接受，但已接近小型打印件下限。
肩部夹紧孔与 shoulder 主孔最小孔间材料,建议 >= 2.0 mm,7.000 mm,7.000378782444084,PASS,肩部夹紧孔与主孔之间有较充足材料。
简化舵机/连接板 footprint 是否落在 elbow pad 内,参考板投影应在 pad 内,最小边缘余量 3.000 mm,3.0,PASS,用于检查简化 mating plate 不会明显悬空。
