name,status,error,cut_strategy,heal_after_cut,shoulder_clamp,elbow_mount,counterbores,nodes,tets,bbox_extent_mm,msh_path,step_path
core_fused_noheal,PASS,,fused,False,False,False,False,1759,5620,"150.500,36.000,39.300",<repo>/07_fea_analysis/upper_arm_static_fea/cae_geometry_cleanup/core_fused_noheal.msh,<repo>/07_fea_analysis/upper_arm_static_fea/cae_geometry_cleanup/core_fused_noheal.step
shoulder_clamp_only_fused_noheal,FAIL,PLC Error:  A segment and a facet intersect at point,fused,False,True,False,False,0,0,,<repo>/07_fea_analysis/upper_arm_static_fea/cae_geometry_cleanup/shoulder_clamp_only_fused_noheal.msh,<repo>/07_fea_analysis/upper_arm_static_fea/cae_geometry_cleanup/shoulder_clamp_only_fused_noheal.step
elbow_through_only_fused_noheal,FAIL,Invalid boundary mesh (overlapping facets) on surface 59 surface 59,fused,False,False,True,False,0,0,,<repo>/07_fea_analysis/upper_arm_static_fea/cae_geometry_cleanup/elbow_through_only_fused_noheal.msh,<repo>/07_fea_analysis/upper_arm_static_fea/cae_geometry_cleanup/elbow_through_only_fused_noheal.step
elbow_with_counterbores_fused_noheal,FAIL,Invalid boundary mesh (overlapping facets) on surface 135 surface 135,fused,False,False,True,True,0,0,,<repo>/07_fea_analysis/upper_arm_static_fea/cae_geometry_cleanup/elbow_with_counterbores_fused_noheal.msh,<repo>/07_fea_analysis/upper_arm_static_fea/cae_geometry_cleanup/elbow_with_counterbores_fused_noheal.step
all_mount_no_counterbores_fused_noheal,FAIL,Invalid boundary mesh (overlapping facets) on surface 59 surface 59,fused,False,True,True,False,0,0,,<repo>/07_fea_analysis/upper_arm_static_fea/cae_geometry_cleanup/all_mount_no_counterbores_fused_noheal.msh,<repo>/07_fea_analysis/upper_arm_static_fea/cae_geometry_cleanup/all_mount_no_counterbores_fused_noheal.step
full_mount_features_fused_noheal,FAIL,Invalid boundary mesh (overlapping facets) on surface 141 surface 141,fused,False,True,True,True,0,0,,<repo>/07_fea_analysis/upper_arm_static_fea/cae_geometry_cleanup/full_mount_features_fused_noheal.msh,<repo>/07_fea_analysis/upper_arm_static_fea/cae_geometry_cleanup/full_mount_features_fused_noheal.step
core_fused_heal,PASS,,fused,True,False,False,False,1758,5614,"150.500,36.000,39.300",<repo>/07_fea_analysis/upper_arm_static_fea/cae_geometry_cleanup/core_fused_heal.msh,<repo>/07_fea_analysis/upper_arm_static_fea/cae_geometry_cleanup/core_fused_heal.step
shoulder_clamp_only_fused_heal,FAIL,Invalid boundary mesh (overlapping facets) on surface 67 surface 67,fused,True,True,False,False,0,0,,<repo>/07_fea_analysis/upper_arm_static_fea/cae_geometry_cleanup/shoulder_clamp_only_fused_heal.msh,<repo>/07_fea_analysis/upper_arm_static_fea/cae_geometry_cleanup/shoulder_clamp_only_fused_heal.step
elbow_through_only_fused_heal,FAIL,Invalid boundary mesh (overlapping facets) on surface 59 surface 59,fused,True,False,True,False,0,0,,<repo>/07_fea_analysis/upper_arm_static_fea/cae_geometry_cleanup/elbow_through_only_fused_heal.msh,<repo>/07_fea_analysis/upper_arm_static_fea/cae_geometry_cleanup/elbow_through_only_fused_heal.step
elbow_with_counterbores_fused_heal,FAIL,Invalid boundary mesh (overlapping facets) on surface 2 surface 2,fused,True,False,True,True,0,0,,<repo>/07_fea_analysis/upper_arm_static_fea/cae_geometry_cleanup/elbow_with_counterbores_fused_heal.msh,<repo>/07_fea_analysis/upper_arm_static_fea/cae_geometry_cleanup/elbow_with_counterbores_fused_heal.step
all_mount_no_counterbores_fused_heal,FAIL,Invalid boundary mesh (overlapping facets) on surface 59 surface 59,fused,True,True,True,False,0,0,,<repo>/07_fea_analysis/upper_arm_static_fea/cae_geometry_cleanup/all_mount_no_counterbores_fused_heal.msh,<repo>/07_fea_analysis/upper_arm_static_fea/cae_geometry_cleanup/all_mount_no_counterbores_fused_heal.step
